"","item.deptCd","item.empNm","item.engNm","item.hjNm","item.jpgLink","item.origNm","item.reeleGbnNm"
"79","9771038","위성곤","WI SEONGGON","魏聖坤","http://www.assembly.go.kr/photo/9771038.jpg","제주 서귀포시","초선"
"80","9770966","유동수","YOO DONGSOO","柳東秀","http://www.assembly.go.kr/photo/9770966.jpg","인천 계양구갑","초선"
"81","9771050","유민봉","YOU MINBONG","庾敏鳳","http://www.assembly.go.kr/photo/9771050.jpg","비례대표","초선"
"82","9770955","윤상직","YOON SANGJICK","尹相直","http://www.assembly.go.kr/photo/9770955.jpg","부산 기장군","초선"
"83","9771085","윤소하","YOUN SOHA","尹昭夏","http://www.assembly.go.kr/photo/9771085.jpg","비례대표","초선"
"84","9771021","윤영일","YOON YOUNGIL","尹英壹","http://www.assembly.go.kr/photo/9771021.jpg","전남 해남군완도군진도군","초선"
"85","9771095","윤일규","YUN IL GYU","尹一逵","http://www.assembly.go.kr/photo/9771095.jpg","충남 천안시병","초선"
"86","9771051","윤종필","YOON JONGPIL","尹鍾畢","http://www.assembly.go.kr/photo/9771051.jpg","비례대표","초선"
"87","9771096","윤준호","YUN JUNE HO","尹俊晧","http://www.assembly.go.kr/photo/9771096.jpg","부산 해운대구을","초선"
"88","9771032","윤한홍","YOON HANHONG","尹漢洪","http://www.assembly.go.kr/photo/9771032.jpg","경남 창원시마산회원구","초선"
"89","9771097","이규희","LEE KYU HEE","李揆熙","http://www.assembly.go.kr/photo/9771097.jpg","충남 천안시갑","초선"
"90","9771080","이동섭","LEE DONGSUP","李銅燮","http://www.assembly.go.kr/photo/9771080.jpg","비례대표","초선"
"91","9771028","이만희","LEE MANHEE","李晩熙","http://www.assembly.go.kr/photo/9771028.jpg","경북 영천시청도군","초선"
"92","9771072","이상돈","LEE SANGDON","李相敦","http://www.assembly.go.kr/photo/9771072.jpg","비례대표","초선"
"93","9771098","이상헌","LEE SANG HEON","李相憲","http://www.assembly.go.kr/photo/9771098.jpg","울산 북구","초선"
"94","9771088","이수혁","LEE SOOHYUCK","李秀赫","http://www.assembly.go.kr/photo/9771088.jpg","비례대표","초선"
"95","9771003","이양수","LEE YANGSOO","李亮壽","http://www.assembly.go.kr/photo/9771003.jpg","강원 속초시고성군양양군","초선"
"96","9771067","이용득","LEE YONGDEUK","李龍得","http://www.assembly.go.kr/photo/9771067.jpg","비례대표","초선"
"97","9771018","이용주","LEE YONGJU","李勇周","http://www.assembly.go.kr/photo/9771018.jpg","전남 여수시갑","초선"
"98","9771015","이용호","LEE YONGHO","李容鎬","http://www.assembly.go.kr/photo/9771015.jpg","전북 남원시임실군순창군","초선"
"99","9770972","이은권","LEE EUNKWON","李殷權","http://www.assembly.go.kr/photo/9770972.jpg","대전 중구","초선"
"100","9771060","이재정","LEE JAEJUNG","李在汀","http://www.assembly.go.kr/photo/9771060.jpg","비례대표","초선"
"101","9771082","이정미","LEE JEONGMI","李貞味","http://www.assembly.go.kr/photo/9771082.jpg","비례대표","초선"
"102","9771040","이종명","LEE JONGMYEONG","李鍾明","http://www.assembly.go.kr/photo/9771040.jpg","비례대표","초선"
"103","9771002","이철규","LEE CHULGYU","李喆圭","http://www.assembly.go.kr/photo/9771002.jpg","강원 동해시삼척시","초선"
